book1	chapter1	verse1	book2	chapter2	verse2	similarity
Jona	1	1	Maleachi	1	1	62
Genesis	24	13	Reges_I	17	4	61
Reges_II	12	1	Chronica_I	6	25	63
Numeri	13	3	Chronica_II	8	7	61
Exodus	40	1	Maleachi	1	1	60
Leviticus	16	1	Numeri	15	35	61
Jeremia	2	5	Nehemia	6	11	61
Reges_II	23	37	Jeremia	52	2	94
Leviticus	8	1	Leviticus	20	1	100
Exodus	33	20	Jesaia	60	8	63
Genesis	44	19	Samuel_I	16	17	61
Chronica_I	15	7	Chronica_I	15	10	63
Josua	15	44	Josua	15	54	62
Exodus	6	26	Numeri	34	29	62
Genesis	34	22	Deuteronomium	33	7	61
Exodus	29	16	Leviticus	3	13	61
Psalmi	83	9	Chronica_II	25	2	62
Numeri	17	9	Ezechiel	37	15	79
Exodus	30	30	Leviticus	7	35	62
Genesis	21	26	Samuel_I	24	7	64
Genesis	50	16	Psalmi	29	10	60
Genesis	24	50	Ezechiel	44	14	61
Reges_II	10	34	Reges_II	15	31	85
Reges_II	15	22	Chronica_II	9	31	63
Psalmi	18	33	Nehemia	12	16	64
Proverbia	9	6	Chronica_I	14	12	60
Ezechiel	13	8	Ezechiel	28	6	64
Numeri	1	27	Numeri	2	19	60
Psalmi	135	13	Esra	10	26	61
Deuteronomium	30	15	Samuel_I	14	38	63
Exodus	29	29	Samuel_I	30	3	61
Leviticus	24	13	Jeremia	32	6	65
Numeri	27	6	Micha	6	3	62
Jesaia	38	4	Ezechiel	21	1	89
Reges_II	20	4	Ezechiel	17	1	60
Reges_I	21	17	Jesaia	5	22	60
Deuteronomium	28	9	Reges_I	18	30	60
Proverbia	1	4	Proverbia	3	21	61
Samuel_I	4	5	Samuel_I	10	7	62
Exodus	22	19	Samuel_I	7	4	60
Genesis	27	32	Exodus	4	22	68
Ezechiel	9	7	Sacharia	11	9	62
Exodus	30	22	Psalmi	109	9	61
Deuteronomium	12	10	Deuteronomium	18	9	61
Reges_I	21	8	Esther	8	10	61
Ezechiel	20	12	Ezechiel	20	20	77
Psalmi	6	6	Psalmi	78	64	62
Psalmi	113	7	Proverbia	1	31	61
Exodus	1	9	Samuel_I	3	11	62
Psalmi	18	36	Psalmi	107	17	65
Jeremia	34	6	Jeremia	36	17	61
Iob	13	16	Iob	33	5	62
Numeri	9	11	Ezechiel	45	21	64
Leviticus	12	1	Chronica_II	33	10	78
Numeri	3	18	Psalmi	122	7	60
Exodus	8	14	Chronica_II	6	41	61
Jesaia	37	16	Chronica_II	20	6	62
Reges_II	13	8	Reges_II	15	6	86
Reges_II	21	10	Ezechiel	13	1	65
Jeremia	7	17	Jeremia	42	7	63
Reges_I	19	9	Ezechiel	24	19	62
Numeri	2	1	Deuteronomium	32	48	73
Nehemia	7	38	Chronica_I	12	27	61
Jeremia	2	11	Daniel	2	3	61
Exodus	32	21	Numeri	17	22	62
Genesis	22	15	Psalmi	18	22	64
Psalmi	119	148	Psalmi	130	3	63
Reges_I	7	35	Ezechiel	14	19	60
Jesaia	24	14	Jeremia	23	23	60
Numeri	23	12	Jesaia	10	17	61
Exodus	14	1	Numeri	3	44	100
Leviticus	24	1	Ezechiel	17	11	79
Psalmi	78	39	Psalmi	107	7	62
Psalmi	104	33	Psalmi	145	2	60
Deuteronomium	30	11	Jesaia	36	21	60
Samuel_I	14	18	Samuel_I	14	38	61
Numeri	17	7	Chronica_II	20	24	62
Samuel_I	17	24	Jeremia	4	1	65
Psalmi	22	21	Psalmi	59	2	62
Leviticus	17	9	Chronica_II	4	14	60
Psalmi	91	10	Iob	4	5	62
Reges_I	16	6	Reges_I	22	51	74
Exodus	25	6	Psalmi	55	20	61
Genesis	17	15	Genesis	30	18	64
Nehemia	3	3	Nehemia	3	13	61
Psalmi	46	4	Proverbia	20	22	60
Genesis	42	28	Samuel_II	21	4	62
Numeri	6	22	Josua	4	15	79
Judices	17	6	Esther	1	2	64
Numeri	11	7	Iob	13	1	60
Jeremia	7	1	Psalmi	35	1	62
Exodus	30	17	Numeri	8	5	100
Sacharia	4	4	Chronica_II	18	28	65
Samuel_I	18	9	Ezechiel	40	35	66
Jeremia	30	12	Threni	3	37	62
Exodus	6	2	Numeri	17	9	70
Deuteronomium	25	17	Josua	5	5	61
Genesis	11	18	Iob	31	9	61
Esra	2	57	Nehemia	7	59	98
Reges_I	6	28	Threni	3	46	62
Exodus	19	25	Psalmi	106	34	63
Chronica_I	17	22	Chronica_II	15	3	63
Exodus	33	20	Chronica_I	2	4	62
Chronica_II	13	4	Chronica_II	18	27	60
Genesis	8	15	Numeri	13	1	76
Leviticus	4	5	Chronica_I	9	21	61
Josua	9	7	Samuel_I	15	16	62
Leviticus	10	10	Leviticus	19	31	62
Reges_II	6	16	Chronica_I	7	32	61
Reges_I	10	15	Chronica_II	9	14	74
Psalmi	10	13	Psalmi	91	11	62
Ezechiel	6	10	Ezechiel	16	30	60
Sacharia	7	6	Chronica_II	7	2	60
Leviticus	22	30	Numeri	24	22	60
Deuteronomium	1	14	Deuteronomium	18	21	61
Reges_II	22	15	Jeremia	44	11	63
Ezechiel	39	22	Chronica_I	15	1	62
