version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 3:5~100%~100%, 11~100%~100%, 44~100%~100%](Numeri 3)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 4:21~100%~100%](Numeri 4)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 5:1~100%~100%, 5~100%~100%, 11~100%~100%](Numeri 5)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 6:1~100%~100%, 22~100%~100%](Numeri 6)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 7:4~x%~91%](Numeri 7)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 8:1~100%~100%, 5~100%~100%, 23~100%~100%](Numeri 8)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 9:9~100%~100%](Numeri 9)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 10:1~100%~100%](Numeri 10)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 13:1~100%~100%](Numeri 13)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 15:1~100%~100%, 17~100%~100%, 37~x%~91%](Numeri 15)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 16:23~100%~100%](Numeri 16)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 17:1~100%~100%, 9~100%~100%, 16~100%~100%](Numeri 17)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 18:25~100%~100%](Numeri 18)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 20:7~100%~100%](Numeri 20)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 25:10~100%~100%, 16~100%~100%](Numeri 25)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 26:52~100%~100%](Numeri 26)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 27:6~x%~91%, 15~100%~x%](Numeri 27)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 28:1~100%~100%](Numeri 28)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 31:1~100%~100%, 25~x%~91%](Numeri 31)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 34:1~100%~100%](Numeri 34)
4b	Numeri	34	16	3872	T		!	crossref	[Numeri 35:9~100%~100%](Numeri 35)
4b	Nehemia	7	52	623	T		!	crossref	[Esra 2:50~x%~91%](Esra 2)
4b	Reges_I	8	29	1200	T		!	crossref	[Chronica_II 6:20~x%~94%](Chronica_II 6)
4b	Nehemia	7	54	625	T		!	crossref	[Esra 2:52~100%~100%](Esra 2)
4b	Nehemia	7	55	626	T		!	crossref	[Esra 2:53~100%~100%](Esra 2)
4b	Reges_I	8	32	1215	T		!	crossref	[Chronica_II 6:23~89%~95%](Chronica_II 6)
4b	Reges_I	8	33	1222	T		!	crossref	[Chronica_II 6:24~x%~91%](Chronica_II 6)
4b	Reges_I	8	34	1228	T		!	crossref	[Chronica_II 6:25~93%~95%](Chronica_II 6)
4b	Nehemia	7	59	630	T		!	crossref	[Esra 2:57~x%~98%](Esra 2)
4b	Nehemia	7	60	631	T		!	crossref	[Esra 2:58~100%~100%](Esra 2)
4b	Ezechiel	11	19	1013	T		!	crossref	[Ezechiel 36:26~86%~98%](Ezechiel 36)
4b	Nehemia	7	62	637	T		!	crossref	[Esra 2:60~x%~91%](Esra 2)
4b	Nehemia	7	63	638	T		!	crossref	[Esra 2:61~100%~98%](Esra 2)
4b	Nehemia	7	64	641	T		!	crossref	[Esra 2:62~100%~100%](Esra 2)
4b	Nehemia	7	65	645	T		!	crossref	[Esra 2:63~100%~96%](Esra 2)
4b	Nehemia	7	66	648	T		!	crossref	[Esra 2:64~100%~100%](Esra 2)
4b	Nehemia	7	67	649	T		!	crossref	[Esra 2:65~x%~93%](Esra 2)
4b	Ezechiel	12	1	1037	T		!	crossref	[Deuteronomium 2:17~100%~x%](Deuteronomium 2)
4b	Ezechiel	12	1	1037	T		!	crossref	[Reges_I 17:2~100%~100%, 8~100%~100%](Reges_I 17)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 1:4~100%~100%](Jeremia 1)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 2:1~100%~100%](Jeremia 2)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 13:3~x%~91%, 8~100%~100%](Jeremia 13)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 16:1~100%~100%](Jeremia 16)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 18:5~100%~100%](Jeremia 18)
4b	Ezechiel	12	1	1037	T		!	crossref	[Jeremia 24:4~100%~100%](Jeremia 24)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 6:1~100%~100%](Ezechiel 6)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 7:1~100%~100%](Ezechiel 7)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 11:14~100%~100%](Ezechiel 11)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 12:17~100%~100%, 21~100%~100%, 26~100%~100%](Ezechiel 12)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 13:1~100%~100%](Ezechiel 13)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 14:2~100%~100%, 12~100%~100%](Ezechiel 14)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 15:1~100%~100%](Ezechiel 15)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 16:1~100%~100%](Ezechiel 16)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 17:1~100%~100%, 11~100%~100%](Ezechiel 17)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 18:1~100%~100%](Ezechiel 18)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 20:2~100%~100%](Ezechiel 20)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 21:1~100%~100%, 6~100%~100%, 13~100%~100%, 23~100%~100%](Ezechiel 21)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 22:1~100%~100%, 17~100%~100%, 23~100%~100%](Ezechiel 22)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 23:1~100%~100%](Ezechiel 23)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 24:15~100%~100%, 20~100%~x%](Ezechiel 24)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 25:1~100%~100%](Ezechiel 25)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 27:1~100%~100%](Ezechiel 27)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 28:1~100%~100%, 11~100%~100%, 20~100%~100%](Ezechiel 28)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 30:1~100%~100%](Ezechiel 30)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 33:1~100%~100%, 23~100%~100%](Ezechiel 33)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 34:1~100%~100%](Ezechiel 34)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 35:1~100%~100%](Ezechiel 35)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 36:16~100%~100%](Ezechiel 36)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 37:15~100%~100%](Ezechiel 37)
4b	Ezechiel	12	1	1037	T		!	crossref	[Ezechiel 38:1~100%~100%](Ezechiel 38)
4b	Ezechiel	12	1	1037	T		!	crossref	[Sacharia 4:8~100%~100%](Sacharia 4)
4b	Ezechiel	12	1	1037	T		!	crossref	[Sacharia 6:9~100%~100%](Sacharia 6)
4b	Ezechiel	12	1	1037	T		!	crossref	[Sacharia 7:4~x%~91%](Sacharia 7)
4b	Ezechiel	12	1	1037	T		!	crossref	[Sacharia 8:1~x%~91%, 18~x%~91%](Sacharia 8)
4b	Reges_I	8	45	1286	T		!	crossref	[Reges_I 8:49~x%~90%](Reges_I 8)
4b	Reges_I	8	45	1286	T		!	crossref	[Chronica_II 6:35~89%~96%](Chronica_II 6)
4b	Reges_I	8	46	1288	T		!	crossref	[Chronica_II 6:36~93%~97%](Chronica_II 6)
4b	Reges_I	8	47	1294	T		!	crossref	[Chronica_II 6:37~87%~98%](Chronica_II 6)
4b	Reges_I	8	48	1302	T		!	crossref	[Chronica_II 6:38~90%~97%](Chronica_II 6)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 6:10~100%~100%](Exodus 6)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 13:1~100%~100%](Exodus 13)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 14:1~100%~100%](Exodus 14)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 16:11~100%~100%](Exodus 16)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 25:1~100%~100%](Exodus 25)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 30:11~100%~100%, 17~100%~100%, 22~100%~100%](Exodus 30)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 31:1~100%~100%, 12~x%~91%](Exodus 31)
4b	Numeri	35	9	3929	T		!	crossref	[Exodus 40:1~100%~100%](Exodus 40)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 4:1~100%~100%](Leviticus 4)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 5:14~100%~100%, 20~100%~100%](Leviticus 5)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 6:1~100%~100%, 12~100%~100%, 17~100%~100%](Leviticus 6)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 7:22~100%~100%, 28~100%~100%](Leviticus 7)
