book1	chapter1	verse1	book2	chapter2	verse2	similarity
Jeremia	32	6	Ezechiel	36	16	80
Leviticus	15	1	Numeri	20	7	83
Ezechiel	22	23	Ezechiel	34	1	100
Leviticus	15	1	Ezechiel	13	1	67
Ezechiel	14	12	Ezechiel	33	1	100
Leviticus	6	17	Jeremia	29	30	67
Numeri	18	25	Jeremia	32	6	67
Numeri	17	16	Ezechiel	36	16	80
Leviticus	19	1	Numeri	27	6	80
Deuteronomium	18	17	Ezechiel	25	1	67
Exodus	25	1	Leviticus	19	1	100
Leviticus	5	14	Leviticus	24	13	100
Leviticus	7	22	Numeri	8	23	100
Leviticus	8	1	Ezechiel	33	23	80
Leviticus	23	9	Jeremia	29	30	67
Leviticus	11	1	Leviticus	23	9	83
Leviticus	11	1	Ezechiel	22	17	67
Leviticus	23	23	Numeri	4	1	83
Ezechiel	20	2	Ezechiel	25	1	100
Exodus	25	1	Numeri	15	17	100
Exodus	31	1	Ezechiel	17	11	80
Leviticus	27	1	Numeri	6	1	100
Leviticus	4	1	Ezechiel	20	2	80
Numeri	15	17	Samuel_I	15	10	67
Leviticus	13	1	Ezechiel	15	1	67
Jesaia	8	5	Sacharia	6	9	67
Jeremia	18	5	Ezechiel	21	1	100
Jeremia	24	4	Sacharia	7	4	80
Numeri	13	1	Jeremia	18	5	80
Leviticus	24	1	Sacharia	7	8	67
Numeri	2	1	Ezechiel	20	2	67
Numeri	17	9	Ezechiel	22	17	80
Deuteronomium	18	17	Ezechiel	28	1	67
Jeremia	18	5	Ezechiel	12	21	100
Exodus	31	1	Ezechiel	12	26	80
Leviticus	6	1	Deuteronomium	2	17	80
Jeremia	16	1	Ezechiel	36	16	100
Leviticus	5	20	Samuel_I	15	10	67
Ezechiel	22	23	Ezechiel	28	11	100
Leviticus	5	20	Leviticus	19	1	100
Deuteronomium	2	17	Ezechiel	13	1	100
Leviticus	14	1	Leviticus	15	1	83
Leviticus	22	17	Numeri	19	1	83
Exodus	25	1	Ezechiel	22	17	80
Ezechiel	16	1	Ezechiel	23	1	100
Exodus	16	11	Jeremia	13	3	67
Numeri	2	1	Ezechiel	28	11	67
Josua	21	28	Chronica_I	6	57	75
Numeri	6	1	Ezechiel	27	1	80
Numeri	10	1	Jeremia	32	26	67
Leviticus	5	20	Numeri	26	52	100
Numeri	17	16	Ezechiel	7	1	80
Exodus	30	11	Numeri	10	1	100
Leviticus	22	1	Numeri	2	1	83
Leviticus	21	16	Jeremia	29	30	67
Josua	20	1	Sacharia	8	1	67
Numeri	1	32	Numeri	1	36	83
Reges_I	22	44	Reges_II	12	4	82
Numeri	15	7	Numeri	15	10	75
Leviticus	23	26	Numeri	6	1	100
Reges_I	14	11	Reges_I	16	4	67
Numeri	7	28	Numeri	7	76	100
Jeremia	33	23	Ezechiel	14	12	80
Ezechiel	11	14	Ezechiel	21	13	100
Numeri	7	46	Numeri	7	76	100
Leviticus	23	18	Numeri	28	27	67
Psalmi	40	14	Psalmi	70	2	71
Numeri	34	16	Ezechiel	20	2	80
Leviticus	17	1	Numeri	13	1	100
Numeri	26	52	Reges_I	17	2	80
Leviticus	8	1	Numeri	8	23	100
Numeri	5	1	Numeri	34	1	100
Deuteronomium	2	17	Ezechiel	25	1	100
Numeri	25	16	Ezechiel	28	11	80
Leviticus	7	28	Numeri	18	25	100
Jesaia	7	10	Ezechiel	36	16	67
Numeri	4	17	Ezechiel	35	1	67
Reges_I	17	8	Ezechiel	21	13	100
Numeri	9	9	Numeri	19	1	83
Exodus	16	11	Ezechiel	28	1	80
Leviticus	5	14	Ezechiel	12	1	80
Leviticus	27	1	Jeremia	18	5	80
Exodus	25	1	Reges_I	17	8	80
Leviticus	4	1	Jeremia	24	4	80
Numeri	7	27	Numeri	7	63	100
Numeri	2	1	Numeri	16	23	83
Leviticus	6	17	Leviticus	18	1	100
Numeri	5	11	Ezechiel	21	23	80
Leviticus	7	22	Numeri	17	9	100
Reges_I	17	8	Ezechiel	21	23	100
Exodus	40	1	Reges_I	6	11	67
Leviticus	11	1	Numeri	8	5	83
Deuteronomium	15	15	Deuteronomium	24	18	73
Leviticus	20	1	Ezechiel	33	23	80
Psalmi	4	1	Psalmi	55	1	75
Numeri	13	1	Ezechiel	25	1	80
Numeri	3	11	Ezechiel	30	1	80
Exodus	14	1	Numeri	5	5	100
Leviticus	18	1	Numeri	4	17	83
Numeri	17	1	Ezechiel	22	1	80
Numeri	4	17	Numeri	8	1	83
Exodus	7	8	Numeri	35	9	67
Jeremia	2	1	Ezechiel	12	21	100
Reges_I	17	2	Ezechiel	28	20	100
Leviticus	18	1	Ezechiel	21	13	80
Reges_I	12	15	Chronica_II	10	15	87
Jeremia	7	1	Jeremia	11	1	100
Samuel_II	5	3	Chronica_I	11	3	80
Numeri	8	1	Sacharia	6	9	80
Leviticus	7	28	Numeri	8	23	100
Jeremia	16	1	Ezechiel	28	1	100
Jeremia	49	20	Jeremia	50	45	74
Leviticus	5	14	Ezechiel	12	21	80
Numeri	17	16	Ezechiel	22	17	80
Leviticus	23	23	Numeri	13	1	100
Leviticus	11	1	Leviticus	17	1	83
Ezechiel	18	1	Ezechiel	28	11	100
Exodus	30	11	Numeri	6	1	100
Leviticus	23	9	Ezechiel	12	1	80
Ezechiel	12	17	Ezechiel	21	6	100
Leviticus	11	1	Numeri	4	17	100
Leviticus	23	26	Ezechiel	21	1	80
Exodus	16	11	Ezechiel	13	1	80
Leviticus	6	12	Leviticus	22	17	100
Numeri	26	41	Numeri	26	47	69
Ezechiel	22	17	Ezechiel	33	1	100
Exodus	14	1	Leviticus	23	1	100
Exodus	25	13	Exodus	38	6	67
Exodus	16	11	Jeremia	24	4	80
Numeri	16	23	Numeri	31	25	80
Reges_II	15	3	Chronica_II	29	2	80
Numeri	8	23	Jeremia	16	1	80
Ezechiel	12	1	Ezechiel	28	11	100
Numeri	25	16	Ezechiel	34	1	80
Leviticus	11	1	Ezechiel	24	20	67
Exodus	14	1	Numeri	4	1	83
Leviticus	6	17	Jeremia	33	23	67
Exodus	31	12	Leviticus	22	17	80
Jeremia	2	1	Sacharia	8	18	80
