version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Psalmi	67	1	3192	T		!	verbsystem poetry	[Verb analysis of psalm 67](tool:verbsystem/files/Psalm067.html)
4b	Psalmi	68	1	3217	T		!	verbsystem poetry	[Verb analysis of psalm 68](tool:verbsystem/files/Psalm068.html)
4b	Psalmi	69	1	3334	T		!	verbsystem poetry	[Verb analysis of psalm 69](tool:verbsystem/files/Psalm069.html)
4b	Psalmi	70	1	3451	T		!	verbsystem poetry	[Verb analysis of psalm 70](tool:verbsystem/files/Psalm070.html)
4b	Psalmi	71	1	3478	T		!	verbsystem poetry	[Verb analysis of psalm 71](tool:verbsystem/files/Psalm071.html)
4b	Psalmi	72	1	3566	T		!	verbsystem poetry	[Verb analysis of psalm 72](tool:verbsystem/files/Psalm072.html)
4b	Psalmi	73	1	3614	T		!	verbsystem poetry	[Verb analysis of psalm 73](tool:verbsystem/files/Psalm073.html)
4b	Psalmi	74	1	3684	T		!	verbsystem poetry	[Verb analysis of psalm 74](tool:verbsystem/files/Psalm074.html)
4b	Psalmi	75	1	3747	T		!	verbsystem poetry	[Verb analysis of psalm 75](tool:verbsystem/files/Psalm075.html)
4b	Psalmi	76	1	3782	T		!	verbsystem poetry	[Verb analysis of psalm 76](tool:verbsystem/files/Psalm076.html)
4b	Psalmi	77	1	3817	T		!	verbsystem poetry	[Verb analysis of psalm 77](tool:verbsystem/files/Psalm077.html)
4b	Psalmi	78	1	3884	T		!	verbsystem poetry	[Verb analysis of psalm 78](tool:verbsystem/files/Psalm078.html)
4b	Psalmi	79	1	4072	T		!	verbsystem poetry	[Verb analysis of psalm 79](tool:verbsystem/files/Psalm079.html)
4b	Psalmi	80	1	4113	T		!	verbsystem poetry	[Verb analysis of psalm 80](tool:verbsystem/files/Psalm080.html)
4b	Psalmi	81	1	4174	T		!	verbsystem poetry	[Verb analysis of psalm 81](tool:verbsystem/files/Psalm081.html)
4b	Psalmi	82	1	4221	T		!	verbsystem poetry	[Verb analysis of psalm 82](tool:verbsystem/files/Psalm082.html)
4b	Psalmi	83	1	4244	T		!	verbsystem poetry	[Verb analysis of psalm 83](tool:verbsystem/files/Psalm083.html)
4b	Psalmi	84	1	4292	T		!	verbsystem poetry	[Verb analysis of psalm 84](tool:verbsystem/files/Psalm084.html)
4b	Psalmi	85	1	4337	T		!	verbsystem poetry	[Verb analysis of psalm 85](tool:verbsystem/files/Psalm085.html)
4b	Psalmi	86	1	4375	T		!	verbsystem poetry	[Verb analysis of psalm 86](tool:verbsystem/files/Psalm086.html)
4b	Psalmi	87	1	4445	T		!	verbsystem poetry	[Verb analysis of psalm 87](tool:verbsystem/files/Psalm087.html)
4b	Psalmi	88	1	4466	T		!	verbsystem poetry	[Verb analysis of psalm 88](tool:verbsystem/files/Psalm088.html)
4b	Psalmi	89	1	4524	T		!	verbsystem poetry	[Verb analysis of psalm 89](tool:verbsystem/files/Psalm089.html)
4b	Psalmi	90	1	4659	T		!	verbsystem poetry	[Verb analysis of psalm 90](tool:verbsystem/files/Psalm090.html)
4b	Psalmi	91	1	4716	T		!	verbsystem poetry	[Verb analysis of psalm 91](tool:verbsystem/files/Psalm091.html)
4b	Psalmi	92	1	4761	T		!	verbsystem poetry	[Verb analysis of psalm 92](tool:verbsystem/files/Psalm092.html)
4b	Psalmi	93	1	4803	T		!	verbsystem poetry	[Verb analysis of psalm 93](tool:verbsystem/files/Psalm093.html)
4b	Psalmi	94	1	4821	T		!	verbsystem poetry	[Verb analysis of psalm 94](tool:verbsystem/files/Psalm094.html)
4b	Psalmi	95	1	4886	T		!	verbsystem poetry	[Verb analysis of psalm 95](tool:verbsystem/files/Psalm095.html)
4b	Psalmi	96	1	4918	T		!	verbsystem poetry	[Verb analysis of psalm 96](tool:verbsystem/files/Psalm096.html)
4b	Psalmi	97	1	4959	T		!	verbsystem poetry	[Verb analysis of psalm 97](tool:verbsystem/files/Psalm097.html)
4b	Psalmi	98	1	4994	T		!	verbsystem poetry	[Verb analysis of psalm 98](tool:verbsystem/files/Psalm098.html)
4b	Psalmi	99	1	5020	T		!	verbsystem poetry	[Verb analysis of psalm 99](tool:verbsystem/files/Psalm099.html)
4b	Psalmi	100	1	5048	T		!	verbsystem poetry	[Verb analysis of psalm 100](tool:verbsystem/files/Psalm100.html)
4b	Psalmi	101	1	5065	T		!	verbsystem poetry	[Verb analysis of psalm 101](tool:verbsystem/files/Psalm101.html)
4b	Psalmi	102	1	5094	T		!	verbsystem poetry	[Verb analysis of psalm 102](tool:verbsystem/files/Psalm102.html)
4b	Psalmi	103	1	5174	T		!	verbsystem poetry	[Verb analysis of psalm 103](tool:verbsystem/files/Psalm103.html)
4b	Psalmi	104	1	5236	T		!	verbsystem poetry	[Verb analysis of psalm 104](tool:verbsystem/files/Psalm104.html)
4b	Psalmi	105	1	5342	T		!	verbsystem poetry	[Verb analysis of psalm 105](tool:verbsystem/files/Psalm105.html)
4b	Psalmi	106	1	5450	T		!	verbsystem poetry	[Verb analysis of psalm 106](tool:verbsystem/files/Psalm106.html)
4b	Psalmi	107	1	5564	T		!	verbsystem poetry	[Verb analysis of psalm 107](tool:verbsystem/files/Psalm107.html)
4b	Psalmi	108	1	5654	T		!	verbsystem poetry	[Verb analysis of psalm 108](tool:verbsystem/files/Psalm108.html)
4b	Psalmi	109	1	5699	T		!	verbsystem poetry	[Verb analysis of psalm 109](tool:verbsystem/files/Psalm109.html)
4b	Psalmi	110	1	5790	T		!	verbsystem poetry	[Verb analysis of psalm 110](tool:verbsystem/files/Psalm110.html)
4b	Psalmi	111	1	5808	T		!	verbsystem poetry	[Verb analysis of psalm 111](tool:verbsystem/files/Psalm111.html)
4b	Psalmi	112	1	5830	T		!	verbsystem poetry	[Verb analysis of psalm 112](tool:verbsystem/files/Psalm112.html)
4b	Psalmi	113	1	5859	T		!	verbsystem poetry	[Verb analysis of psalm 113](tool:verbsystem/files/Psalm113.html)
4b	Psalmi	114	1	5878	T		!	verbsystem poetry	[Verb analysis of psalm 114](tool:verbsystem/files/Psalm114.html)
4b	Psalmi	115	1	5901	T		!	verbsystem poetry	[Verb analysis of psalm 115](tool:verbsystem/files/Psalm115.html)
4b	Psalmi	116	1	5951	T		!	verbsystem poetry	[Verb analysis of psalm 116](tool:verbsystem/files/Psalm116.html)
4b	Psalmi	117	1	5999	T		!	verbsystem poetry	[Verb analysis of psalm 117](tool:verbsystem/files/Psalm117.html)
4b	Psalmi	118	1	6006	T		!	verbsystem poetry	[Verb analysis of psalm 118](tool:verbsystem/files/Psalm118.html)
4b	Psalmi	119	1	6089	T		!	verbsystem poetry	[Verb analysis of psalm 119](tool:verbsystem/files/Psalm119.html)
4b	Psalmi	120	1	6501	T		!	verbsystem poetry	[Verb analysis of psalm 120](tool:verbsystem/files/Psalm120.html)
4b	Psalmi	121	1	6521	T		!	verbsystem poetry	[Verb analysis of psalm 121](tool:verbsystem/files/Psalm121.html)
4b	Psalmi	122	1	6539	T		!	verbsystem poetry	[Verb analysis of psalm 122](tool:verbsystem/files/Psalm122.html)
4b	Psalmi	123	1	6561	T		!	verbsystem poetry	[Verb analysis of psalm 123](tool:verbsystem/files/Psalm123.html)
4b	Psalmi	124	1	6575	T		!	verbsystem poetry	[Verb analysis of psalm 124](tool:verbsystem/files/Psalm124.html)
4b	Psalmi	125	1	6594	T		!	verbsystem poetry	[Verb analysis of psalm 125](tool:verbsystem/files/Psalm125.html)
4b	Psalmi	126	1	6610	T		!	verbsystem poetry	[Verb analysis of psalm 126](tool:verbsystem/files/Psalm126.html)
4b	Psalmi	127	1	6631	T		!	verbsystem poetry	[Verb analysis of psalm 127](tool:verbsystem/files/Psalm127.html)
4b	Psalmi	128	1	6652	T		!	verbsystem poetry	[Verb analysis of psalm 128](tool:verbsystem/files/Psalm128.html)
4b	Psalmi	129	1	6668	T		!	verbsystem poetry	[Verb analysis of psalm 129](tool:verbsystem/files/Psalm129.html)
4b	Psalmi	130	1	6687	T		!	verbsystem poetry	[Verb analysis of psalm 130](tool:verbsystem/files/Psalm130.html)
4b	Psalmi	131	1	6711	T		!	verbsystem poetry	[Verb analysis of psalm 131](tool:verbsystem/files/Psalm131.html)
4b	Psalmi	132	1	6723	T		!	verbsystem poetry	[Verb analysis of psalm 132](tool:verbsystem/files/Psalm132.html)
4b	Psalmi	133	1	6764	T		!	verbsystem poetry	[Verb analysis of psalm 133](tool:verbsystem/files/Psalm133.html)
4b	Psalmi	134	1	6777	T		!	verbsystem poetry	[Verb analysis of psalm 134](tool:verbsystem/files/Psalm134.html)
4b	Psalmi	135	1	6785	T		!	verbsystem poetry	[Verb analysis of psalm 135](tool:verbsystem/files/Psalm135.html)
4b	Psalmi	136	1	6843	T		!	verbsystem poetry	[Verb analysis of psalm 136](tool:verbsystem/files/Psalm136.html)
4b	Psalmi	137	1	6896	T		!	verbsystem poetry	[Verb analysis of psalm 137](tool:verbsystem/files/Psalm137.html)
4b	Psalmi	138	1	6925	T		!	verbsystem poetry	[Verb analysis of psalm 138](tool:verbsystem/files/Psalm138.html)
4b	Psalmi	139	1	6951	T		!	verbsystem poetry	[Verb analysis of psalm 139](tool:verbsystem/files/Psalm139.html)
4b	Psalmi	140	1	7034	T		!	verbsystem poetry	[Verb analysis of psalm 140](tool:verbsystem/files/Psalm140.html)
4b	Psalmi	141	1	7082	T		!	verbsystem poetry	[Verb analysis of psalm 141](tool:verbsystem/files/Psalm141.html)
4b	Psalmi	142	1	7122	T		!	verbsystem poetry	[Verb analysis of psalm 142](tool:verbsystem/files/Psalm142.html)
4b	Psalmi	143	1	7152	T		!	verbsystem poetry	[Verb analysis of psalm 143](tool:verbsystem/files/Psalm143.html)
4b	Psalmi	144	1	7196	T		!	verbsystem poetry	[Verb analysis of psalm 144](tool:verbsystem/files/Psalm144.html)
4b	Psalmi	145	1	7251	T		!	verbsystem poetry	[Verb analysis of psalm 145](tool:verbsystem/files/Psalm145.html)
4b	Psalmi	146	1	7302	T		!	verbsystem poetry	[Verb analysis of psalm 146](tool:verbsystem/files/Psalm146.html)
4b	Psalmi	147	1	7335	T		!	verbsystem poetry	[Verb analysis of psalm 147](tool:verbsystem/files/Psalm147.html)
4b	Psalmi	148	1	7389	T		!	verbsystem poetry	[Verb analysis of psalm 148](tool:verbsystem/files/Psalm148.html)
4b	Psalmi	149	1	7427	T		!	verbsystem poetry	[Verb analysis of psalm 149](tool:verbsystem/files/Psalm149.html)
4b	Psalmi	150	1	7447	T		!	verbsystem poetry	[Verb analysis of psalm 150](tool:verbsystem/files/Psalm150.html)
